,datapoint,attr_val,data_values,flipset_values,score
0,111,0,"[2, 0, 23, 15, 6, 392, 4, 1, 1, 1, 1, 0, 1, 2, 0, 0, 4, 1]","[2.0, 0.0, 23.0, 15.0, 6.0, 392.0, 3.0, 1.0, 1.0, 1.0, 1.0, -0.0, 1.0, 2.0, -0.0, 0.0, 4.0, 1.0]",0.5020229703775089
1,257,0,"[1, 0, 29, 12, 3, 2149, 4, 1, 1, 1, 1, 0, 2, 2, 0, 2, 1, 0]","[1.0, 0.0, 29.0, 12.0, 3.0, 2149.0, 4.0, 1.0, 1.0, 1.0, 1.0, -0.0, 2.0, 2.0, -0.0, 2.0, 1.0, 1.0]",0.502282695548601
2,154,1,"[1, 1, 36, 24, 9, 6967, 4, 1, 1, 1, 1, 0, 3, 3, 0, 0, 4, 1]","[1.0, 1.0, 36.0, 24.0, 9.0, 6967.0, 3.0, 1.0, 1.0, 1.0, 1.0, -0.0, 3.0, 3.0, -0.0, 0.0, 4.0, 1.0]",0.5044295055983219
3,953,0,"[2, 0, 26, 36, 2, 10974, 4, 0, 1, 2, 1, 0, 0, 3, 1, 1, 2, 1]","[2.0, 0.0, 26.0, 36.0, 2.0, 10974.0, 3.0, 0.0, 1.0, 2.0, 1.0, -0.0, 0.0, 3.0, 1.0, 1.0, 2.0, 1.0]",0.5047547985083594
4,334,1,"[1, 1, 23, 24, 2, 4110, 3, 1, 1, 2, 2, 0, 4, 2, 0, 0, 4, 0]","[1.0, 1.0, 23.0, 24.0, 2.0, 4110.0, 3.0, 1.0, 1.0, 2.0, 2.0, -0.0, 4.0, 2.0, -0.0, 0.0, 4.0, 1.0]",0.5051722221927701
5,545,1,"[1, 1, 43, 24, 0, 1333, 4, 1, 1, 2, 2, 0, 0, 2, 1, 2, 2, 0]","[1.0, 1.0, 43.0, 24.0, 0.0, 1333.0, 4.0, 1.0, 1.0, 2.0, 2.0, -0.0, 0.0, 2.0, 1.0, 2.0, 2.0, 1.0]",0.505296880891992
0,821,0,"[1, 0, 24, 12, 3, 3016, 3, 1, 1, 1, 1, 0, 2, 2, 0, 1, 1, 0]","[1.0, 0.0, 24.0, 12.0, 3.0, 3016.0, 3.0, 1.0, 1.0, 1.0, 1.0, -0.0, 2.0, 2.0, -0.0, 1.0, 1.0, 1.0]",0.5054660093034082
1,10,0,"[2, 0, 25, 12, 0, 1295, 3, 1, 1, 1, 1, 0, 1, 2, 0, 0, 1, 0]","[2.0, 0.0, 25.0, 12.0, 0.0, 1295.0, 3.0, 1.0, 1.0, 1.0, 1.0, -0.0, 1.0, 2.0, -0.0, 0.0, 1.0, 1.0]",0.5067707238941122
2,338,1,"[1, 1, 28, 24, 2, 4169, 4, 1, 1, 1, 1, 0, 2, 2, 0, 1, 4, 1]","[1.0, 1.0, 28.0, 24.0, 2.0, 4169.0, 3.0, 1.0, 1.0, 1.0, 1.0, -0.0, 2.0, 2.0, -0.0, 1.0, 4.0, 1.0]",0.5069739139098288
3,29,1,"[1, 1, 63, 60, 9, 6836, 3, 1, 1, 2, 1, 0, 4, 2, 0, 1, 4, 1]","[1.0, 1.0, 63.0, 60.0, 9.0, 6836.0, 2.0, 1.0, 1.0, 2.0, 1.0, 0.0, 4.0, 2.0, -0.0, 1.0, 4.0, 1.0]",0.5072072128690941
4,181,0,"[1, 0, 30, 36, 9, 4455, 2, 1, 1, 2, 1, 0, 2, 3, 0, 1, 2, 1]","[1.0, 0.0, 30.0, 36.0, 9.0, 4455.0, 1.0, 1.0, 1.0, 2.0, 1.0, 0.0, 2.0, 3.0, -0.0, 1.0, 2.0, 1.0]",0.509054505942656
5,950,0,"[1, 0, 40, 18, 9, 3590, 3, 1, 1, 3, 2, 0, 0, 0, 1, 1, 3, 1]","[1.0, 0.0, 40.0, 18.0, 9.0, 3590.0, 2.0, 1.0, 1.0, 3.0, 2.0, 0.0, 0.0, 0.0, 1.0, 1.0, 3.0, 1.0]",0.5090582235438219
0,367,0,"[2, 0, 22, 18, 2, 3650, 1, 1, 1, 1, 1, 0, 1, 2, 0, 0, 4, 0]","[2.0, 0.0, 22.0, 18.0, 2.0, 3650.0, 1.0, 1.0, 1.0, 1.0, 1.0, -0.0, 1.0, 2.0, -0.0, 0.0, 4.0, 1.0]",0.509541704900551
1,637,1,"[1, 1, 21, 60, 3, 15653, 2, 0, 1, 2, 1, 0, 3, 2, 0, 1, 4, 1]","[1.0, 1.0, 21.0, 60.0, 3.0, 15653.0, 1.0, 0.0, 1.0, 2.0, 1.0, 0.0, 3.0, 2.0, -0.0, 1.0, 4.0, 1.0]",0.5099757751859562
2,722,0,"[2, 0, 24, 12, 0, 1228, 4, 1, 1, 1, 1, 0, 2, 1, 0, 1, 2, 0]","[2.0, 0.0, 24.0, 12.0, 0.0, 1228.0, 4.0, 1.0, 1.0, 1.0, 1.0, -0.0, 2.0, 1.0, -0.0, 1.0, 2.0, 1.0]",0.5104938395577758
3,273,1,"[1, 1, 28, 49, 3, 3060, 3, 1, 1, 2, 1, 0, 3, 2, 0, 1, 4, 1]","[1.0, 1.0, 28.0, 47.0, 3.0, 3060.0, 3.0, 1.0, 1.0, 2.0, 1.0, 0.0, 3.0, 2.0, -0.0, 1.0, 4.0, 1.0]",0.5106088676440493
4,438,1,"[1, 1, 65, 42, 5, 3394, 4, 1, 1, 2, 1, 1, 0, 0, 1, 1, 4, 0]","[1.0, 1.0, 65.0, 42.0, 5.0, 3394.0, 4.0, 1.0, 1.0, 2.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 4.0, 1.0]",0.5125149377427254
5,937,0,"[1, 0, 30, 6, 3, 2063, 4, 1, 1, 1, 1, 0, 1, 3, 0, 0, 3, 1]","[1.0, 0.0, 30.0, 6.0, 3.0, 2063.0, 3.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 3.0, -0.0, 0.0, 3.0, 1.0]",0.5127823859102854
0,397,0,"[1, 0, 46, 36, 2, 2348, 3, 1, 1, 2, 1, 0, 2, 2, 0, 1, 2, 1]","[1.0, 0.0, 46.0, 36.0, 2.0, 2348.0, 2.0, 1.0, 1.0, 2.0, 1.0, 0.0, 2.0, 2.0, -0.0, 1.0, 2.0, 1.0]",0.5128590430483491
1,235,1,"[1, 1, 30, 24, 3, 1823, 4, 1, 1, 1, 2, 0, 0, 3, 1, 1, 2, 1]","[1.0, 1.0, 30.0, 24.0, 3.0, 1823.0, 3.0, 1.0, 1.0, 1.0, 2.0, 0.0, 0.0, 3.0, 1.0, 1.0, 2.0, 1.0]",0.5133462834528186
2,922,0,"[2, 0, 22, 9, 3, 1366, 3, 1, 1, 1, 1, 0, 1, 2, 0, 0, 4, 0]","[2.0, 0.0, 22.0, 9.0, 3.0, 1366.0, 3.0, 1.0, 1.0, 1.0, 1.0, -0.0, 1.0, 2.0, -0.0, 0.0, 4.0, 1.0]",0.5137197557523703
3,203,0,"[1, 0, 21, 12, 8, 902, 4, 1, 1, 1, 1, 0, 3, 2, 0, 0, 4, 0]","[1.0, 0.0, 21.0, 12.0, 8.0, 902.0, 4.0, 1.0, 1.0, 1.0, 1.0, -0.0, 3.0, 2.0, -0.0, 0.0, 4.0, 1.0]",0.5137466855498187
4,462,0,"[2, 0, 34, 12, 2, 3017, 3, 1, 1, 1, 1, 0, 1, 3, 0, 0, 1, 0]","[2.0, 0.0, 34.0, 12.0, 2.0, 3017.0, 3.0, 1.0, 1.0, 1.0, 1.0, -0.0, 1.0, 3.0, -0.0, 0.0, 1.0, 1.0]",0.514304012475511
5,924,0,"[1, 0, 55, 24, 2, 6872, 2, 1, 1, 1, 1, 0, 1, 2, 0, 1, 1, 1]","[1.0, 0.0, 55.0, 24.0, 2.0, 6872.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 2.0, -0.0, 1.0, 1.0, 1.0]",0.5146948648004779
0,342,0,"[1, 0, 25, 18, 3, 3213, 1, 1, 1, 1, 1, 0, 1, 2, 0, 0, 3, 0]","[1.0, 0.0, 25.0, 18.0, 3.0, 3213.0, 1.0, 1.0, 1.0, 1.0, 1.0, -0.0, 1.0, 2.0, -0.0, 0.0, 3.0, 1.0]",0.5149845332786991
1,535,0,"[1, 0, 33, 21, 6, 2319, 2, 1, 1, 1, 1, 0, 1, 2, 0, 0, 1, 0]","[1.0, 0.0, 33.0, 21.0, 6.0, 2319.0, 2.0, 1.0, 1.0, 1.0, 1.0, -0.0, 1.0, 2.0, -0.0, 0.0, 1.0, 1.0]",0.5151466122528235
2,788,1,"[1, 1, 50, 48, 6, 6224, 4, 1, 1, 1, 1, 0, 4, 2, 0, 2, 4, 1]","[1.0, 1.0, 50.0, 48.0, 6.0, 6224.0, 3.0, 1.0, 1.0, 1.0, 1.0, -0.0, 4.0, 2.0, -0.0, 2.0, 4.0, 1.0]",0.5159112837505657
3,339,0,"[1, 0, 31, 10, 2, 1521, 4, 1, 1, 1, 1, 0, 2, 1, 0, 1, 2, 0]","[1.0, 0.0, 31.0, 10.0, 2.0, 1521.0, 4.0, 1.0, 1.0, 1.0, 1.0, -0.0, 2.0, 1.0, -0.0, 1.0, 2.0, 1.0]",0.516302379960514
4,630,0,"[2, 0, 28, 24, 3, 3660, 2, 1, 1, 1, 1, 0, 2, 2, 0, 1, 4, 0]","[2.0, 0.0, 28.0, 24.0, 3.0, 3660.0, 2.0, 1.0, 1.0, 1.0, 1.0, -0.0, 2.0, 2.0, -0.0, 1.0, 4.0, 1.0]",0.5165599541486401
5,112,1,"[1, 1, 28, 18, 0, 6260, 3, 1, 1, 1, 1, 0, 3, 1, 0, 0, 3, 0]","[1.0, 1.0, 28.0, 18.0, 0.0, 6260.0, 3.0, 1.0, 1.0, 1.0, 1.0, -0.0, 3.0, 1.0, -0.0, 0.0, 3.0, 1.0]",0.5175487845784137
0,293,1,"[1, 1, 56, 42, 1, 4796, 4, 1, 1, 1, 1, 0, 4, 2, 0, 2, 4, 0]","[1.0, 1.0, 56.0, 42.0, 1.0, 4796.0, 4.0, 1.0, 1.0, 1.0, 1.0, -0.0, 4.0, 2.0, -0.0, 2.0, 4.0, 1.0]",0.5191433977598641
1,315,1,"[1, 1, 31, 36, 2, 2746, 4, 1, 1, 1, 1, 0, 4, 2, 0, 1, 4, 0]","[1.0, 1.0, 31.0, 36.0, 2.0, 2746.0, 4.0, 1.0, 1.0, 1.0, 1.0, -0.0, 4.0, 2.0, -0.0, 1.0, 4.0, 1.0]",0.5209673159660346
2,634,0,"[2, 0, 25, 24, 0, 1355, 3, 1, 1, 1, 1, 0, 1, 1, 0, 1, 4, 1]","[2.0, 0.0, 25.0, 24.0, 0.0, 1355.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, -0.0, 1.0, 4.0, 1.0]",0.5213577366750841
3,301,0,"[2, 0, 42, 36, 3, 3804, 3, 1, 1, 1, 1, 0, 2, 2, 0, 1, 1, 1]","[2.0, 0.0, 42.0, 36.0, 3.0, 3804.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 2.0, 2.0, -0.0, 1.0, 1.0, 1.0]",0.5218196462150371
4,255,1,"[1, 1, 27, 60, 3, 7418, 1, 1, 0, 1, 1, 0, 2, 1, 0, 1, 1, 0]","[1.0, 1.0, 27.0, 60.0, 3.0, 7418.0, 1.0, 1.0, 0.0, 1.0, 1.0, -0.0, 2.0, 1.0, -0.0, 1.0, 1.0, 1.0]",0.5220409595749793
5,364,1,"[1, 1, 25, 18, 2, 2473, 4, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0]","[1.0, 1.0, 25.0, 18.0, 2.0, 2473.0, 4.0, 1.0, 1.0, 1.0, 1.0, -0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]",0.5224036651433801
0,416,1,"[1, 1, 33, 12, 0, 2579, 4, 1, 1, 1, 2, 0, 1, 1, 0, 1, 1, 0]","[1.0, 1.0, 33.0, 12.0, 0.0, 2579.0, 4.0, 1.0, 1.0, 1.0, 2.0, -0.0, 1.0, 1.0, -0.0, 1.0, 1.0, 1.0]",0.5231935013440654
