,datapoint,attr_val,score
,4492,0,0.5006825661619599
,4670,1,0.501304774514896
,2509,1,0.5091248631764651
,2957,1,0.510184610666248
,7500,1,0.510184610666248
,5791,1,0.5108992880247779
,8086,1,0.5108998186583629
,6106,0,0.5131924207154501
,1921,1,0.5192259223986356
,1292,1,0.5259986730446357
,7535,1,0.5331331674635105
,2796,0,0.5333222249330295
,2393,0,0.5360834675015769
,4164,0,0.5374609888634727
,2406,0,0.5375006083766758
,2227,0,0.5395472974177414
,705,1,0.5400241092594291
,2120,1,0.5409310292135068
,60,0,0.541903079880921
,559,0,0.5420641245111195
,5482,0,0.5471220780559811
,5260,0,0.5595316515164749
,7103,1,0.5645651317902829
,6159,0,0.5686844226290699
,4166,1,0.5716180843616736
,5771,0,0.5749721936407199
,795,0,0.5837713618733866
,4363,1,0.5872409006698753
,2913,0,0.5880492803163393
,4662,0,0.5891654103866808
,423,1,0.5956700984141399
,3678,1,0.5971134322134263
,5473,1,0.6021421538171277
,5860,0,0.6045640352372703
,7508,1,0.6080329188130325
,76,0,0.6116190473594316
,6039,0,0.6369422077636737
,4977,1,0.6451656640952337
,2433,0,0.6520170107203359
,450,1,0.6537534579266779
,7265,0,0.6564378468323564
,5877,1,0.6676778114207761
,4779,1,0.6731747449857428
,71,0,0.6849296695364953
,26,1,0.702056713790638
,3673,0,0.7032394545218784
,4304,1,0.7032689169081342
,8976,1,0.7354174882773261
,4740,1,0.7975970319061878
,2479,0,0.8335551232165573
