,datapoint,attr_val,score
,1556,1,0.5028623322219474
,2857,1,0.5069776833897472
,9479,0,0.5086266127157806
,8827,1,0.5116144514286447
,242,1,0.5116484332194837
,5101,1,0.5132731346619446
,4444,1,0.5171855626571206
,5843,1,0.5225909094324179
,936,1,0.5256157135662034
,897,0,0.5271052834266452
,10,1,0.5274598555254786
,291,1,0.5274873360580525
,7760,1,0.5275772874627103
,4997,1,0.5278651877992917
,2236,1,0.5308541318547138
,2918,0,0.534185540269255
,5532,0,0.5350656127264655
,9762,0,0.5371130964605074
,6561,0,0.5374434571334763
,160,0,0.5398787048477807
,1239,0,0.5430879659761756
,456,0,0.5434762680260379
,8450,0,0.5436968260371942
,3489,1,0.5464878125609116
,5482,0,0.5471220780559811
,1762,0,0.5492668470798496
,7628,0,0.5503863058563581
,5009,1,0.5518316972620791
,7144,1,0.5567807516286241
,327,1,0.560125550999953
,3135,1,0.5634112032274352
,6112,1,0.5652115041644923
,4734,0,0.5751856888964402
,8176,1,0.590951748144093
,2299,1,0.5929764503107853
,6984,1,0.5993225635851662
,1174,0,0.6066485159370706
,6770,1,0.6112839966102785
,8773,1,0.6114259554336552
,1618,0,0.6122982225761769
,701,0,0.6172578134372613
,2471,1,0.6246162062318901
,4603,1,0.6317598670465943
,2264,0,0.64731358433549
,3193,1,0.6616897953300962
,8685,0,0.6739415705955956
,8689,0,0.6741761964755313
,9690,0,0.6909245125987411
,7622,1,0.712356843186962
,6775,1,0.8404863455705224
