,datapoint,attr_val,score
,4387,1,1.0
,1960,1,1.0
,7380,1,1.0
,145,0,1.0
,9617,1,1.0
,3817,0,2.0
,8232,0,2.0
,4403,1,2.0
,7474,0,2.0
,1324,1,2.0
,7927,0,2.0
,7055,1,2.0
,8420,1,2.0000000000000004
,342,0,2.0000000000000004
,2672,0,2.23606797749979
,3947,0,3.1622776601683795
,4688,1,4.0
,1249,1,4.0
,4051,0,4.0
,600,1,4.0
,3678,1,4.0
,2676,1,4.123105625617661
,569,1,5.0
,8601,1,5.0
,3350,1,5.385164807134505
,1661,1,5.385164807134505
,4255,1,5.830951894845301
,3539,1,30.43024810940588
,3439,1,39.319206502675
,683,1,60.07495318350236
,1351,1,130.01538370516005
,1657,1,170.01176429882727
,4587,1,190.07630046904842
,2924,1,200.00999975001253
,404,1,300.0
,3855,1,350.0
,781,0,520.0
,9189,1,660.9304048082521
,3688,0,1010.7427961652755
,5918,0,1100.0004545453605
,8642,1,1270.0003937007264
,6297,1,1920.001041666384
,8193,1,2471.804603928069
,4924,0,2704.58037410612
,8453,0,3097.4713880841578
,3963,1,4410.001814058584
,2455,1,5247.752280738869
,413,1,7012.1418268600355
,4278,0,8598.222199966689
,3737,1,10640.568593829938
