,datapoint,attr_val,score
,257,0,0.502282695548601
,821,0,0.5054660093034082
,10,0,0.5067707238941122
,29,1,0.5072072128690941
,367,0,0.509541704900551
,535,0,0.5151466122528235
,339,0,0.516302379960514
,630,0,0.5165599541486401
,293,1,0.5191433977598641
,634,0,0.5213577366750841
,416,1,0.5231935013440654
,607,0,0.5276818206749594
,118,0,0.5311299747644496
,205,1,0.5317296916994028
,639,1,0.5396484671789823
,368,1,0.5427636800106609
,985,0,0.5457050095033504
,666,1,0.5462956505442538
,721,0,0.5465018678432927
,86,0,0.5486802391954138
,229,1,0.5501665416205704
,347,0,0.5531895409328444
,375,0,0.5535539826318236
,116,0,0.5734015325444712
,194,1,0.5748256387491204
,312,0,0.5760854219661121
,338,1,0.5791257067028637
,623,0,0.5859113722377015
,407,0,0.5864275123371948
,896,0,0.6022120743428252
,208,0,0.6049615724811921
,993,1,0.6115629260051213
,242,1,0.6190425262836585
,926,0,0.6379790304172867
,191,1,0.6535941649287391
,771,0,0.6582838516619911
,321,0,0.663202821361183
,983,1,0.6774733217267099
,538,1,0.6777475837557854
,812,1,0.6840674408378721
,736,0,0.6946111160796813
,381,0,0.7107058275723754
,59,0,0.7169429122368309
,927,1,0.7370939022706031
,528,0,0.739235218423
,320,0,0.7508662270870627
,578,0,0.7691827403205258
,9,0,0.7706174603188077
,887,1,0.7728671910536224
,677,0,0.8473766648729185
